Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Tsang P.P., Smith S.W.",PPAA: Peer-to-peer anonymous authentication,2008,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5037 LNCS,,,55,74,,6,10.1007/978-3-540-68914-0_4,http://www.scopus.com/inward/record.url?eid=2-s2.0-45749125686&partnerID=40&md5=d8982dbdc9e13d63e5977e9a706e38ec,"Department of Computer Science, Dartmouth College, Hanover, NH 03755, United States","Tsang, P.P., Department of Computer Science, Dartmouth College, Hanover, NH 03755, United States; Smith, S.W., Department of Computer Science, Dartmouth College, Hanover, NH 03755, United States","In the pursuit of authentication schemes that balance user privacy and accountability, numerous anonymous credential systems have been constructed. However, existing systems assume a client-server architecture in which only the clients, but not the servers, care about their privacy. In peer-to-peer (P2P) systems where both clients and servers are peer users with privacy concerns, no existing system correctly strikes that balance between privacy and accountability. In this paper, we provide this missing piece: a credential system in which peers are pseudonymous to one another (that is, two who interact more than once can recognize each other via pseudonyms) but are otherwise anonymous and unlinkable across different peers. Such a credential system finds applications in, e.g., Vehicular Ad-hoc Networks (VANets) and P2P networks. We formalize the security requirements of our proposed credential system, provide a construction for it, and prove the security of our construction. Our solution is efficient: its complexities are independent of the number of users in the system. © 2008 Springer-Verlag Berlin Heidelberg.",Anonymous authentication; Credentials; Privacy; Reputation systems; Secret handshakes; VANets,Conference Paper,Scopus,2-s2.0-45749125686
"Schinbein J., Foster L., Protti D., Rose P., Ho K.",The technology enabled physician's office by 2016,2008,Journal on Information Technology in Healthcare,6,2,,103,113,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-42949130760&partnerID=40&md5=309bded620a470740dddb84b9e7756db,"Faculty of Human and Social Development, University of Victoria, PO Box 1700, Victoria, BC V8W 2Y2, Canada; Faculty of Medicine, University of British Columbia, Vancouver, BC, Canada","Schinbein, J., Faculty of Human and Social Development, University of Victoria, PO Box 1700, Victoria, BC V8W 2Y2, Canada; Foster, L., Faculty of Human and Social Development, University of Victoria, PO Box 1700, Victoria, BC V8W 2Y2, Canada; Protti, D., Faculty of Human and Social Development, University of Victoria, PO Box 1700, Victoria, BC V8W 2Y2, Canada; Rose, P., Faculty of Human and Social Development, University of Victoria, PO Box 1700, Victoria, BC V8W 2Y2, Canada; Ho, K., Faculty of Medicine, University of British Columbia, Vancouver, BC, Canada","The healthcare system is under significant pressure to improve quality, efficiency, safety, access, stakeholder satisfaction and control costs. At present it lags far behind most other industries in its use of modern information technology to help address these pressures. In many countries governments are making substantial investments in clinical information systems to support the acute (hospital) sector, yet over 90 percent of patient encounters occur in the General (Family) Practitioner's office. Numerous studies have shown that the vast majority of physicians' offices in North America still use paper charts, and from this perspective little has changed from the 19th century. Health information technology, including the Internet, unites three powerful tools for improving medical practice: knowledge management for clinical decision support, secure communications for web messaging, and remote care (telehealth). The physician's office is the heart of patient care, and therefore, a critical area for improving efficiency, the quality of care, and accountability of the system. This study includes: A review of the literature; an overview of the drivers for change; observations from key informant physicians and medical students; and the results of interviews and a focus group identifying specific technologies that will likely be in common use in physicians' offices by 2016. No new 'killer application' was identified by the key informants; the technology enabled physician's office of the future can be achieved with technology that exists today. © The Journal on Information Technology in Healthcare 2008.",,Review,Scopus,2-s2.0-42949130760
"Malladi S., Varshney U.",Design and application of a health insurance portability and accountability act-compliant privacy framework for pervasive healthcare,2008,International Journal of Mobile Communications,6,4,,499,518,,,10.1504/IJMC.2008.018056,http://www.scopus.com/inward/record.url?eid=2-s2.0-43049149447&partnerID=40&md5=500edf766548e7036b88e34b2f8f2813,"Department of Computer Science, Georgia State University, 34 Peachtree street, Atlanta, GA 30303, United States; J. Mack Robinson College of Business, Computer Information Systems, Georgia State University, 35 Broad Street, Atlanta, GA 30302, United States; Department of Computer Science, Georgia State University; IEEE; Department of Computer Information Systems, Georgia State University","Malladi, S., Department of Computer Science, Georgia State University, 34 Peachtree street, Atlanta, GA 30303, United States, Department of Computer Science, Georgia State University, IEEE; Varshney, U., J. Mack Robinson College of Business, Computer Information Systems, Georgia State University, 35 Broad Street, Atlanta, GA 30302, United States, Department of Computer Information Systems, Georgia State University","With an increasing emphasis on pervasive healthcare services, providing a high degree of privacy to patients is becoming a major challenge due to: (a) an increased number of avenues, such as device, access points, switches and database; (b) more threats to privacy then ever before and (c) a higher expectation from society due to the sensitive and personal nature of medical and health information. In this paper, we present a framework for privacy in pervasive healthcare. Various applications and scenarios have been identified, details of the framework are presented and its applications to representative pervasive healthcare applications. Copyright © 2008 Inderscience Enterprises Ltd.",EHR; Electronic health record; Health insurance portability and accountability act; HIPAA; Pervasive health; Privacy; Security; Wireless health,Article,Scopus,2-s2.0-43049149447
"Kahn S., Sheshadri V.",Medical record privacy and security in a digital environment,2008,IT Professional,10,2,4476253,46,52,,20,10.1109/MITP.2008.34,http://www.scopus.com/inward/record.url?eid=2-s2.0-41549130915&partnerID=40&md5=62710760f6b61f47d215f64370c7861e,"Fox Prairie Medical Group; E-Medapps; Prairie Medical Group, St. Charles, IL, United States; Central DuPage Hospital, Delnor Community Hospital; Northern Illinois Physicans for Connectivity","Kahn, S., Fox Prairie Medical Group, Prairie Medical Group, St. Charles, IL, United States, Central DuPage Hospital, Delnor Community Hospital, Northern Illinois Physicans for Connectivity; Sheshadri, V., E-Medapps","Quality healthcare requires to address the security, privacy, and confidentiality of medical records in both wire-line and wireless environments in a cost-effective way. Healthcare Insurance Portability and Accountability Act (HIPAA) of 1996 established a set of healthcare provider rules and regulations, requiring that patients be informed of their privacy rights, that uses of protected health information not needed for treatment, payment, or operations be limited, and that all employees in covered entities. Medical practitioners must weigh the risk of breaching HIPAA security rules against cost of investing in extra tools and personnel. The best solution for security compliance in a digital ambulatory medical practice is to offer healthcare professionals educational tools for implementing security policies and procedures. HIPAA also mandates that all healthcare entities maintain an appropriate backup and disaster recovery plan.",,Article,Scopus,2-s2.0-41549130915
"Lee W.-B., Lee C.-D.",A cryptographic key management solution for HIPAA privacy/security regulations,2008,IEEE Transactions on Information Technology in Biomedicine,12,1,,34,41,,39,10.1109/TITB.2007.906101,http://www.scopus.com/inward/record.url?eid=2-s2.0-39449106296&partnerID=40&md5=ec0162d8fe04931527e27d6b35956490,"Department of Information Engineering and Computer Science, Feng Chia University, Taichung 407, Taiwan","Lee, W.-B., Department of Information Engineering and Computer Science, Feng Chia University, Taichung 407, Taiwan; Lee, C.-D., Department of Information Engineering and Computer Science, Feng Chia University, Taichung 407, Taiwan","The Health Insurance Portability and Accountability Act (HIPAA) privacy and security regulations are two crucial provisions in the protection of healthcare privacy. Privacy regulations create a principle to assure that patients have more control over their health information and set limits on the use and disclosure of health information. The security regulations stipulate the provisions implemented to guard data integrity, confidentiality, and availability. Undoubtedly, the cryptographic mechanisms are well defined to provide suitable solutions. In this paper, to comply with the HIPAA regulations, a flexible cryptographic key management solution is proposed to facilitate interoperations among the applied cryptographic mechanisms. In addition, case of consent exceptions intended to facilitate emergency applications and other possible exceptions can also be handled easily. © 2008 IEEE.",Cryptography; Health Insurance Portability and Accountability Act (HIPAA); Key management; Patient's privacy; Protected health information (PHI),Article,Scopus,2-s2.0-39449106296
"Sriram V., Narayan G., Gopinath K.",SAFIUS - A secure and accountable filesystem over untrusted storage,2007,Proceedings - SISW 2007: 4th International IEEE Security in Storage Workshop,,,4389743,34,45,,1,10.1109/SISW.2007.4389743,http://www.scopus.com/inward/record.url?eid=2-s2.0-49449115457&partnerID=40&md5=c84da240fe5463993cf2489ec34d257c,"Computer Science and Automation Indian Institute of Science, Bangalore, India","Sriram, V., Computer Science and Automation Indian Institute of Science, Bangalore, India; Narayan, G., Computer Science and Automation Indian Institute of Science, Bangalore, India; Gopinath, K., Computer Science and Automation Indian Institute of Science, Bangalore, India","We describe SAFIUS, a secure accountable file system that resides over an untrusted storage. SAFIUS provides strong security guarantees like confidentiality, integrity, prevention from rollback attacks, and accountability. SAFIUS also enables read/write sharing of data and provides the standard UNIX-like interface for applications. To achieve accountability with good performance, it uses asynchronous signatures; to reduce the space required for storing these signatures, a novel signature pruning mechanism is used. SAFIUS has been implemented on a GNU/Linux based system modifying OpenGFS. Preliminary performance studies show that SAFIUS has a tolerable overhead for providing secure storage: while it has an overhead of about 50% of OpenGFS in data intensive workloads, it is comparable (or better in some cases) to OpenGFS in metadata intensive workloads. © 2007 IEEE.",,Conference Paper,Scopus,2-s2.0-49449115457
"Lakshmana Rao K.M., Jayasree K.",Dynamic GIS through online monitoring and reciprocative system for effective traffic mobility and safety,2007,"14th World Congress on Intelligent Transport Systems, ITS 2007",5,,,3633,3637,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893777592&partnerID=40&md5=1133b7bc07fb6b46ec29cddd121e9aa5,"Centre for Transportation Engineering, JNTU College of Engineering, JNTU, Kukatpally, Hyderabad, Andhra Pradesh 500072, India","Lakshmana Rao, K.M., Centre for Transportation Engineering, JNTU College of Engineering, JNTU, Kukatpally, Hyderabad, Andhra Pradesh 500072, India; Jayasree, K., Centre for Transportation Engineering, JNTU College of Engineering, JNTU, Kukatpally, Hyderabad, Andhra Pradesh 500072, India","Mobility of traffic and its related safety is important in reference to economic, environment and safety of road user. Road user attitudinal tracking and monitoring is the objective of this paper which answers many of the unsolvable situations in many countries on traffic jams / congestion, delays, pollution, accidents and risk of travel. The supportive tools and technology like GPS, GSM / GPRS communication and identity with GIS system can promote the objective of user and system owner friendly road system. The high resolutioned data of satellite is proposed to be used for geofencing and fractal geometry model are suggested for improving urban fabric on road structure. The outcome of this contribution will address lessened vehicle operating cost / delays, improvement of environment sustenance, lessened accident risk and improved accountability to road user and enhanced monitoring and tracking of traffic by system owner.",Attitudinal tracking; Enhanced monitoring; Environment sustenance; Geofencing; Urban fabric,Conference Paper,Scopus,2-s2.0-84893777592
"Cadigan M.F., Stough J.",Implementation of a management-system execution framework to establish a culture of accountability and improved safety performance,2007,Society of Petroleum Engineers - Digital Energy Conference and Exhibition 2007,,,,46,51,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-40449132782&partnerID=40&md5=239a4e2ab85cbf8fa23430f3beedcc2c,"SPE, Premium Drilling Inc.; Syntex Management Systems Inc.","Cadigan, M.F., SPE, Premium Drilling Inc.; Stough, J., Syntex Management Systems Inc.","A management system is a company's corporate-wide standardized framework of processes and practices used to ensure that an organization can fulfill all tasks required to achieve its objectives. For example, an operational excellence management system provides standardized guidelines and practices to enable continuous improvement of the organization's operational risk mitigation competence. The simplest frameworks include the ability to execute - ""Plan, Do, Check, Act."" A more complete management system would include accountability and a schedule for activities to be completed, as well as auditing tools to implement corrective actions in addition to scheduled activities, creating an upward spiral of continuous improvement facilitating operational risk management across the enterprise. As a startup drilling contractor, implementing a management system and defining a corporate culture can be a daunting task. Part of the culture that must be nurtured is an environment of accountability. One such contractor, hereafter known as the ""Company"" employed a preferred practice enterprise risk management tool already utilized by many major operators. The idea is simple; develop a culture of accountability by using proven business processes already employed by many major operators. Starting with a small scope of functionality using incident reporting and action item tracking, this Company has formed the backbone of a true accountability system. With initial success in tracking closure of action items, the Company is now posed to expand the tool with dedicated modules to govern other processes within the management system including: Management of Change Training Requests Audit/Assessment Module High Value Learning Events Behavior Based Safety Observations Health, Safety and Environment (HSE) Metrics Many companies use different software technology toolsets to strengthen their execution of various management system processes with the goal to reduce costs incurred from loss events (injuries, spills, asset damage, operation shut-downs, etc.) on a global scale. A successful management system framework should enable transparency and accountability across all facets of the organization using centralized tools. Many of these management systems have similarities and a common intent. However, often the case is management systems exist in the form of three-ring binders that sit on the shelf and therefore scarcely reflect the realities of how business is run in the field. Copyright 2007, Society of Petroleum Engineers.",,Conference Paper,Scopus,2-s2.0-40449132782
"Anane R., Freeland R., Theodoropoulos G.",e-voting requirements and implementation,2007,"Proceedings - The 9th IEEE International Conference on E-Commerce Technology; The 4th IEEE International Conference on Enterprise Computing, E-Commerce and E-Services, CEC/EEE 2007",,,4285237,382,389,,13,10.1109/CEC-EEE.2007.42,http://www.scopus.com/inward/record.url?eid=2-s2.0-49949083248&partnerID=40&md5=c5e39f530ac2acb39bad5d593058d5c8,"Computer and Network Systems, Coventry University, United Kingdom; School of Computer Science, University of Birmingham, United Kingdom","Anane, R., Computer and Network Systems, Coventry University, United Kingdom; Freeland, R., School of Computer Science, University of Birmingham, United Kingdom; Theodoropoulos, G., School of Computer Science, University of Birmingham, United Kingdom","The level of research that e-voting has attracted is a testimony of its importance as a key element in the implementation of e-government. It is argued that the ease with which voting can be performed will increase participation and enhance accountability. This convenience however, generates a set of specific requirements, not least the ability of the underlying distributed system to model the behaviour of manual systems. More specifically, the elimination of direct physical intervention entails a careful management of the implications of virtual participation. The scope of this work concerns the identification and integration of specific mechanisms for addressing issues of security, privacy and accountability. The aim of this paper is to present a case study on the design and implementation of an e-voting prototype system, and to provide a context for the selection and deployment of relevant mechanisms. © 2007 IEEE.",,Conference Paper,Scopus,2-s2.0-49949083248
"Flaska M., Pozzi S.A.",Measurement and analysis system for the identification of shielded neutron sources,2007,IEEE Nuclear Science Symposium Conference Record,1,,4436315,199,203,,1,10.1109/NSSMIC.2007.4436315,http://www.scopus.com/inward/record.url?eid=2-s2.0-48349101037&partnerID=40&md5=759b3b30d4697a865baf6e16a5148e54,"IEEE; Oak Ridge National Laboratory, Oak Ridge, TN 37831, United States","Flaska, M., IEEE, Oak Ridge National Laboratory, Oak Ridge, TN 37831, United States; Pozzi, S.A., IEEE, Oak Ridge National Laboratory, Oak Ridge, TN 37831, United States","Accurate identification of radioactive materials is essential in areas such as nuclear nonproliferation, international safeguards, nuclear material control and accountability, and national security. Recently, a new application of a technique that acquires neutron pulse-height spectra using a liquid scintillation detector, a digitizer, and an optimized pulse shape discrimination technique was proposed. The method can be used for accurate identification of neutron sources such as Cf-252, Am-Be, and Am-Li. AU these sources were investigated in combination with several shielding blocks made of polyethylene and lead. From the results it is apparent that source identification is possible by the data inspection of the measured pulse-height distributions. The general slope of the distributions can be used for the source identification, and all sources tested can be accurately identified. All measured pulse-height distributions were also compared to distributions simulated with the MCNP-PoliMi code and very good agreement was achieved. © 2007 IEEE.",,Conference Paper,Scopus,2-s2.0-48349101037
"Pridgen A., Julien C.",SMASH: Modular security for mobile agents,2007,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),4408 LNCS,,,99,116,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-38049184511&partnerID=40&md5=26806aeaba67714cbda39c4b55c2a7ad,"Center for Excellence in Distributed Global Environments, Department of Electrical and Computer Engineering, University of Texas, Austin, United States","Pridgen, A., Center for Excellence in Distributed Global Environments, Department of Electrical and Computer Engineering, University of Texas, Austin, United States; Julien, C., Center for Excellence in Distributed Global Environments, Department of Electrical and Computer Engineering, University of Texas, Austin, United States","Mobile agent systems of the future will be used for secure information delivery and retrieval, off-line searching and purchasing, and even system software updates. As part of such applications, agent and platform integrity must be maintained, confidentiality between agents and the intended platform parties must be preserved, and accountability of agents and their platform counterparts must be stringent. SMASH, Secure Modular Mobile Agent System.H, is an agent system designed using modular components that allow agents to be easily constructed and the system to be easily extended. To facilitate security functionality, the SMASH platform incorporates existing hardware and software security solutions to provide access control, accountability, and integrity. Agents are further protected using a series of standard cryptographic functions. While SMASH promotes high assurance applications, the system also promotes an open network environment, permitting agents to move freely among the platforms and execute unprivileged actions without authenticating. In this paper, we elaborate on the components and capabilities of SMASH and present an application that benefits from each of these elements. © Springer-Verlag Berlin Heidelberg 2007.",,Conference Paper,Scopus,2-s2.0-38049184511
"Itani W., Kayssi A., Chehab A.",An efficient and scalable Security Protocol for protecting fixed-content objects in content addressable storage architectures,2007,"Proceedings of the 3rd International Conference on Security and Privacy in Communication Networks, SecureComm",,,4550309,63,72,,,10.1109/SECCOM.2007.4550309,http://www.scopus.com/inward/record.url?eid=2-s2.0-51349163151&partnerID=40&md5=4ba4c1ec5b258f8dac048c7d106a557e,"Department of Electrical and Computer Engineering, American University of Beirut, Beirut 1107 2020, Lebanon","Itani, W., Department of Electrical and Computer Engineering, American University of Beirut, Beirut 1107 2020, Lebanon; Kayssi, A., Department of Electrical and Computer Engineering, American University of Beirut, Beirut 1107 2020, Lebanon; Chehab, A., Department of Electrical and Computer Engineering, American University of Beirut, Beirut 1107 2020, Lebanon","In this paper we present PLEDGE, an efficient and scalable Security ProtocoL for protecting fixed-content objects in contEnt aDdressable storaGe (CAS) architEctures. PLEDGE follows an end-to-end policy-driven security approach to secure the confidentiality, integrity, and authenticity of fixed-content entities over the enterprise network links and in the nodes of the CAS device. It utilizes a customizable and configurable XML security policy to provide flexible, multi-level, and fine-grained encryption and hashing methodologies to fixed content CAS entities. PLEDGE secures data objects based on their content and sensitivity and highly overcomes the performance of bulk and raw encryption protocols such as the Secure Socket Layer (SSL) and the Transport Layer Security (TLS) protocols. Moreover, PLEDGE transparently stores sensitive objects encrypted (partially or totally) in the CAS storage nodes without affecting the CAS storage system operation or performance and takes into consideration the processing load, computing power, and memory capabilities of the client devices which may be constrained by limited processing power, memory resources, or network connectivity. PLEDGE complies with the strictest compliance regulations such as the Health Insurance Portability and Accountability Act (HIPAA) requirements and the SEC Rule 17a-4 financial standards. The protocol is implemented in a real CAS network using an EMC Centera backend storage device. The application secured by PLEDGE in the sample implementation is an X-Ray radiography scanning system in a healthcare network environment.",Content-addressable storage security; Customizable security; Policy-driven security,Conference Paper,Scopus,2-s2.0-51349163151
"Chakrabarti S., Chandrasekhar S., Calvert K.L., Singhal M.",Efficient blind signatures for accountability,2007,"2007 3rd IEEE Workshop on Secure Network Protocols, NPSec",,,4371624,49,54,,,10.1109/NPSEC.2007.4371624,http://www.scopus.com/inward/record.url?eid=2-s2.0-47249104770&partnerID=40&md5=3d86f7b69e13c52637fbf0ab347c407a,"Laboratory for Advanced Networking, Department of Computer Science, University of Kentucky, Lexington, KY 40506, United States","Chakrabarti, S., Laboratory for Advanced Networking, Department of Computer Science, University of Kentucky, Lexington, KY 40506, United States; Chandrasekhar, S., Laboratory for Advanced Networking, Department of Computer Science, University of Kentucky, Lexington, KY 40506, United States; Calvert, K.L., Laboratory for Advanced Networking, Department of Computer Science, University of Kentucky, Lexington, KY 40506, United States; Singhal, M., Laboratory for Advanced Networking, Department of Computer Science, University of Kentucky, Lexington, KY 40506, United States","The problem of building privacy-preserving accountability systems is long-standing and has been extensively studied by the network research community. We observe that blind signatures have potential to form critical building blocks of network security protocols, where an authority needs to vouch for the legitimacy of a message but there is also a need to keep the ownership of the message secret from the authority. Different forms of blind signature constructions exist in the literature and have found valuable use in areas such E-Cash technology and E-voting schemes. However, conventional blind signatures are quite heavyweight and thus, a direct application of these traditional signatures face scalability and performance challenges. In this paper, we present a novel third-order linear feedback shift register (LFSR) sequence-based, 2-party signature scheme, EGCLFSR, following a well-known variant of the generalized ElGamal signature scheme. Using EGCLFSR, and following fundamentals of a well known blind signature, originally used for E-Cash systems, we present an efficient blind signature BCLFSR (also the first blind signature based on LFSR sequences), which can serve as a protocol building block for privacy-preserving accountability systems. We perform a theoretical analysis including correctness and security of BCLFSR and also present a performance (computation and communication costs, storage overhead) comparison of the proposed scheme with well-known traditional constructions.",Accountability; Blind signature; Cubic LFSR-based cryptosystems; ElGamal signature; GH; LFSR sequence; Privacy-preserving accountability; XTR,Conference Paper,Scopus,2-s2.0-47249104770
"Belenkiy M., Chase M., Erway C.C., Jannotti J., Kupcu A., Lysyanskaya A., Rachlin E.",Making P2P accountable without losing privacy,2007,WPES'07 - Proceedings of the 2007 ACM Workshop on Privacy in Electronic Society,,,,31,40,,11,10.1145/1314333.1314339,http://www.scopus.com/inward/record.url?eid=2-s2.0-64549104317&partnerID=40&md5=70fb030620ef72c4e2abd4bb87698ee8,"Department of Computer Science, Brown University, Providence, RI, United States","Belenkiy, M., Department of Computer Science, Brown University, Providence, RI, United States; Chase, M., Department of Computer Science, Brown University, Providence, RI, United States; Erway, C.C., Department of Computer Science, Brown University, Providence, RI, United States; Jannotti, J., Department of Computer Science, Brown University, Providence, RI, United States; Küpçü, A., Department of Computer Science, Brown University, Providence, RI, United States; Lysyanskaya, A., Department of Computer Science, Brown University, Providence, RI, United States; Rachlin, E., Department of Computer Science, Brown University, Providence, RI, United States","Peer-to-peer systems have been proposed for a wide variety of applications, including file-sharing, web caching, distributed computation, cooperative backup, and onion routing. An important motivation for such systems is self-scaling. That is, increased participation increases the capacity of the system. Unfortunately, this property is at risk from selfish participants. The decentralized nature of peer-to-peer systems makes accounting difficult. We show that e-cash can be a practical solution to the desire for accountability in peer-to-peer systems while maintaining their ability to self-scale. No less important, e-cash is a natural fit for peer-to-peer systems that attempt to provide (or preserve) privacy for their participants. We show that e-cash can be used to provide accountability without compromising the existing privacy goals of a peer-to-peer system. We show how e-cash can be practically applied to a file sharing application. Our approach includes a set of novel cryptographic protocols that mitigate the computational and communication costs of anonymous e-cash transactions, and system design choices that further reduce overhead and distribute load. We conclude that provably secure, anonymous, and scalable peer-to-peer systems are within reach. © 2007 ACM.",anonymity; e-cash; incentives; peer-to-peer; privacy,Conference Paper,Scopus,2-s2.0-64549104317
"Poursalidis V., Nikolaou C.",Towards a person-centric identity management infrastructure (IMI),2007,Computer Systems Science and Engineering,22,5,,255,266,,1,,http://www.scopus.com/inward/record.url?eid=2-s2.0-38949109589&partnerID=40&md5=464f40af1348355ae7ed461cae3268d7,"Digital Security Technologies Athens, Greece; Computer Science Department, University of Crete, Heraklion Crete, Greece","Poursalidis, V., Digital Security Technologies Athens, Greece; Nikolaou, C., Computer Science Department, University of Crete, Heraklion Crete, Greece","When people sign in to Information Systems today, they usually present credentials with local significance, to be authenticated and gain access to internal functionality. Every user is therefore required to have a different login-password combination for each online service, or even different credentials for different roles within a service. As a result users tend to make poor password choices that are easy to remember, or even repeat the same login-password information for different services. This poses security threats to service providers and a privacy risk for end-users. The solution is to shift to identity management systems. Such a system will issue a digital identity for every user and will be able to control the full life-cycle of these identities, from creation to termination. A significant advantage of such a system is the single sign-on mechanism, whereby a single action of user authentication and authorization can permit the user to access multiple services without the need to execute any local authentication procedure. We first evaluate existing identity management implementations and then proceed to propose our own solution. Our Identity Management Infrastructure (IMI) differs from similar approaches. We propose a global scale deployment and we address problems that arise from such a design. Another difference is that our technique sets up the end-user as the sole holder of his/her identity information. This prevents the existence of a single point where multiple digital identities are held, which could become a target for potential attackers. The benefits (as seen from our approach) are improved security, accountability, reduced administration costs, ease of deployment and privacy protection. We provide accountability to digital identity holders, while allowing the user to remain anonymous and give service providers and end-users strong security guarantees about the security aspects of our approach. We finally study the security risks involved in our approach and how we address them. © 2007 CRL Publishing Ltd.",,Article,Scopus,2-s2.0-38949109589
"Martinez R., Juel P.C., Fjelldalen P.",Safety management in process industries,2007,ABB Review,,SPEC. REP.,,85,87,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33947166397&partnerID=40&md5=790d98ce9797ad747a20374f083682e8,"ABB Corporate R and D, Billingstad, Norway; ABB Process Automation, Oslo, Norway","Martinez, R., ABB Corporate R and D, Billingstad, Norway; Juel, P.C., ABB Corporate R and D, Billingstad, Norway; Fjelldalen, P., ABB Process Automation, Oslo, Norway","The tradition of supplying safety systems for industrial processes have provided ABB with the experience necessary to implement new safety standards such as IEC-61508 and IEC-61511 and combine these in its System 800×A control system. Compliance manager helps the user build safety teams, describe member competences and assign responsibility-accountability (RACI) chart. The IEC-61511 standard is pre-loaded so that the user can become productive and can perform gap analysis on the requirements and generate checklists and specification documents. ABB has developed 800×A Safety Builder toolkit to support cause and effect matrix (CEM) programming for IEC 61131 control platforms. The Viewer Tool is implemented to generate a fully-integrated 800×A operator display and navigation element, which makes modifications easier to implement.",,Review,Scopus,2-s2.0-33947166397
"Murtagh M., Levy J., Boyd C., Van Someren N., Byers T., Wilson P.",Infosecurity Europe 2007,2007,Software World,38,2,,10,16,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33947499203&partnerID=40&md5=b0907925bbd09d191f59b65e98fdefed,"EMEA, Websense, Germany; SonicWALL, Inc.; Malware Research FaceTime Communications; nCipher, United Kingdom; Iron Mountain Europe, United States; Department of Technical Assurance, Siemens Insight Consulting","Murtagh, M., EMEA, Websense, Germany; Levy, J., SonicWALL, Inc.; Boyd, C., Malware Research FaceTime Communications; Van Someren, N., nCipher, United Kingdom; Byers, T.Iron Mountain Europe, United States; Wilson, P., Department of Technical Assurance, Siemens Insight Consulting","Europe's dedicated Information security event, called Infosecurity Europe 2007, will be held from April 24-27, 2007, at Grand Hall, Olympia. The exhibition will be attended by more than 300 exhibitors and 11,600 visitors from different segments of the industry and it will provide information on educational program, new products and services. The topic 'The data leakage threat: perception and reality' will be presented by Mark Murtagh, technical director for EMEA, and will focus on the risks related to sensitive information loss and data access control. Joe Levy, Chief Technology Officer, SonicWALL, Inc. will describe a topic on widespread accountability for data security, application of visualization as a security tool, and mass adoption of two-factor authentication. Dr. Nicko van Someren, founder and CTO of nCipher, will also present a paper 'Unravelling Crypto' that will describe the way encryption for sorting out facts from fiction regarding new developments.",,Article,Scopus,2-s2.0-33947499203
Hudson S.,Privileged password management: Combating the insider threat and meeting compliance regulations for the enterprise,2007,Database and Network Journal,37,1,,3,9,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33847250906&partnerID=40&md5=6d49be0fb1eb8431bb2f463d035522ea,,"Hudson, S.","Identity and access management (IDC) provides privileged password management (PPM) and implements policies to reduce the risk of internal data misuse in IT organizations. The policies include personalizing PP to meet compliance requirements, change of PP through corporate policies, and a secure and centralized management and storage capability for PP accounts. The compliance regulations of IDC include Basal II/Capital Requirements Directive (CRD), Sarbanes-Oxley Act 2002, European Union (EU) data protection directive, and Payment Card Industry (PCI) standard. PPM is achieved by meeting compliance regulations by addressing issues such as application accounts and personal computer accounts. Identity Access Management (IAM) solves issues such as compliance with government and industry regulations, increased security to prevent identity card fraud and identity theft, auditability, and accountability, for secure PPM.",,Article,Scopus,2-s2.0-33847250906
